CODE,LAB_NAME,LOCATION,PARENT_CODE
A,University of Arizona,USA,
AA,NSF-Ariz AMS Facility,USA,
AAR,University of Aarhus,Denmark,
AC,Ingeis,Argentina,
AECV,Alberta Environmental Center of Vegreville,Canada,
AERIK,Atomic Energy Res. Inst.,Korea,
ALG,Algiers,Algeria,
ANAS,Applied Nuclear-Atomic Science (ANAS) Lab,South Korea,
ANL,Argonne Nat. Lab.,USA,
ANSTO,Austrian Nuclear Science & Technology,Australia,
ANTW,Antwerp,Belgium,
ANU,Australian National Univ.,Australia,
ANUA,ANU Accelerator,Australia,
AU,University of Alaska,USA,
B,Bern,Switzerland,
Ba,Bratislava,Slovakia,
BC,Brooklyn College,USA,
BE,University of Bern,Switzerland,
Beta,Beta Analytic,USA,
Beta/DIC,Beta Analytic and Dicar Corp,USA,
BGS,Brock University,Canada,
BIOCAMS,BIOCAMS International,USA,
Birm,Birmingham,UK,
Bln,Berlin,Germany,
BM,British Museum,England,
BONN,Universität Bonn,Germany,
BRAMS,University of Bristol,United Kingdom,
BS,Birbal Sahni Institute,India,
BSG,Brock University,Canada,
C,Chicago,USA,
CAMS,Center for Accelerator Mass Spectrometry,USA,
CAN,Centro Nacional de Aceleradores,Spain,
CAR,"Univ. College, Cardiff",Wales,
CENA,Centro Energia Nuclear na Agricultura,Brazil,
CG,Institute of Geology,China,
CH,Chemistry Laboratory,India,
CNA,Centro Nacional de Aceladores,Spain,
CNXX,"Institute of Geology and Geophysics, Chinese Acad. Sciences",China,
COL,Köln AMS,Germany,
COL,University of Cologne AMS,Germany,
CRCA,Cairo,Egypt,
CRL,Czech Radiocarbon Laboratory,Czech Republic,
CSIC,"Geochronology Lab, IQFR-CSIC, Magrid",Spain,
CSM,"Cosmochemistry Lab., USSR Academy of Sciences",USSR,
CT,"Caltech, Calif. Inst. Tech.",USA,
CU,Charles University,Czech Republic,
D,"Dublin, Trinity College",Ireland,
Dak,Univ. de Dakar,République du Sénégal,
DAL,Dalhousie University,Canada,
DAMS,Direct AMS,USA,
DE,"USGS, Denver",USA,
DeA,Debrecen (AMS),Hungary,
Deb,Debrecen,Hungary,
DebA,Debrecen (AMS),Hungary,
DEM,"Lab. of Archaeometry, NCSR Demokritos",Greece,
DGC,Dalhousie Geochronology Centre,Canada,
DIC,Dicar Corp and Dicarb Radioisotope Company,USA,
DK,Univ. de Dakar,Senegal,
DK,Institut Fondamental dAfrique Noire (IFAN),Senegal,
DRI,Desert Research Institute,USA,
DSA,Center for Isotopic Research on Cultural and Environmental Heritage (CIRCE),Italy,
EESLAMS,Penn State Univ.,USA,
ENEA,"ENEA, Bologna",Italy,
Erl,Erlangen AMS Facility,Germany,
ETH,ETH/AMS Facility,Switzerland,
F,Florence,Italy,
Fi,Florence INFN,Italy,
Fr,Freiberg,Germany,
Fra,Frankfurt,Germany,
FSU,Florida State University,USA,
FTMC,Vilnius AMS Lab,Lithuania,
FZ,Fortaleza,Brazil,
G,Göteborg,Sweden,
GAK,Gakushuin University,Japan,
Gd,Gliwice,Poland,
GD,Gdansk,Poland,
Gif,Gif-sur-Yvette,France,
GifA,Gif-sur-Yvette and Orsay,France,
GIN,Geological Institute,Russia,
GL,Geochronological Lab.,England,
GrA,Groningen Accelerator,The Netherlands,
GrM,Groningen AMS,Netherlands,
GrN,Groningen,The Netherlands,
Gro,Groningen,The Netherlands,
GSC,Geological Survey,Canada,
GU,Scottish Universities Research & Reactor Centre,Scotland,
GX,Geochron Laboratories,USA,
GXO,Geochron Laboratories,USA,
H,Heidelberg,West Germany,
