Site_ID,Site_Name ,Country
1204,Abouleg,Algeria
1205,Abrid Afalou,Algeria
945,Adrar Tiouiyne,Algeria
1222,Ain Guettara,Algeria
1223,Ain Misteheyia,Algeria
1224,Ain Naga,Algeria
1225,Ain Touta,Algeria
946,Amekini,Algeria
948,Erg Tihodaine,Algeria
947,Menjet,Algeria
1365,Setif,Algeria
108,Alibori Sill,Benin
671,Birnin Lafiya,Benin
934,Bogo-Bogo,Benin
1101,DO 00,Benin
1103,GOHO.00,Benin
1099,Goroberi,Benin
938,Guene zeno,Benin
902,Kantoro,Benin
1253,Kargui,Benin
935,Kargui,Benin
667,Kompa Dune,Benin
668,Kompa Moussékoubou ,Benin
937,Kozungu,Benin
936,Madekali,Benin
1255,Madekali Road,Benin
933,Pekinga,Benin
1104,Tannou,Benin
679,Tintin,Benin
1102,YEV-1,Benin
1376,Kgaswe,Botswana
1377,Matlapeng,Botswana
1378,Nqoma,Botswana
1695,Batenga,BurkinaFaso
1054,Bena,BurkinaFaso
641,Corcoba,BurkinaFaso
1056,Diekono,BurkinaFaso
631,Dori 94/40,BurkinaFaso
632,Dori 94/96,BurkinaFaso
1037,Fadar,BurkinaFaso
1441,Kawara,BurkinaFaso
1144,Kaya,BurkinaFaso
1057,Kebe Sira Kan Tomo,BurkinaFaso
1055,Kerebe Sira Tomo,BurkinaFaso
1087,Kirikongo,BurkinaFaso
1129,Kissi 14,BurkinaFaso
636,Kissi 22,BurkinaFaso
687,Kissi 3,BurkinaFaso
638,Kissi 40,BurkinaFaso
689,Kissi-49,BurkinaFaso
1177,Kolèl Nord,BurkinaFaso
1143,Korsimoro,BurkinaFaso
696,Maadaga,BurkinaFaso
346,MAS502,BurkinaFaso
362,MAS541,BurkinaFaso
1696,Nimpoui,BurkinaFaso
630,Oursi,BurkinaFaso
1182,Oursi 1 ,BurkinaFaso
1179,Oursi 2 ,BurkinaFaso
1180,Oursi 3 ,BurkinaFaso
1181,Oursi 4 ,BurkinaFaso
635,Oursi hu-beero,BurkinaFaso
1178,Oursi Ost (Champs d'Oursi),BurkinaFaso
634,Oursi village,BurkinaFaso
347,Péntènga,BurkinaFaso
837,Rim,BurkinaFaso
639,Saouga A,BurkinaFaso
640,Saouga B,BurkinaFaso
1697,Sidigo,BurkinaFaso
1176,Sirkangou ,BurkinaFaso
633,Tin Akof,BurkinaFaso
747,Tora Sira Tomo,BurkinaFaso
838,Wairegaigu,BurkinaFaso
1698,Yamane,BurkinaFaso
1256,Nyaruyaga II,Burundi
60,Abang Minko'o,Cameroon
597,Abeke,Cameroon
602,Adoumri,Cameroon
644,Aissa Dugjé,Cameroon
1,Akak 1    ,Cameroon
63,Akok begnat 2,Cameroon
65,Akonetye,Cameroon
647,Amachita,Cameroon
532,Angon II,Cameroon
528,Angon II,Cameroon
510,Angonfeme,Cameroon
2,Avoh,Cameroon
71,Bagofit,Cameroon
3,Baleng,Cameroon
72,Bali River,Cameroon
456,Bambo,Cameroon
457,Bambo,Cameroon
458,Bambo,Cameroon
75,Bandewouri,Cameroon
4,Bankouop,Cameroon
604,BE-Butte I/TR A,Cameroon
605,BE-Butte I/TR B,Cameroon
539,Beka Petel,Cameroon
541,Beka Petel,Cameroon
5,Beka Petel-Gamboro,Cameroon
460,Belabo SOCOPAO,Cameroon
435,Bemboyo ,Cameroon
618,Bibalé Tchuin,Cameroon
467,Bidjocka,Cameroon
469,Bidjocka,Cameroon
83,Bidjouka,Cameroon
84,Bidou II,Cameroon
475,Bifoum,Cameroon
499,Bikoka,Cameroon
518,Bikoka,Cameroon
568,Bikoto,Cameroon
490,Bikoue I,Cameroon
492,Bikoue I,Cameroon
506,Bikoue II Rockshelter,Cameroon
494,Bikoue-Si,Cameroon
500,Bikoue-Si,Cameroon
502,Bikoue-Si,Cameroon
504,Bikoue-Si,Cameroon
86,Binguela 2,Cameroon
451,Biombe,Cameroon
464,Biombe,Cameroon
450,Biombe (PS3),Cameroon
87,Bissiang,Cameroon
656,Blabli,Cameroon
626,Blé A,Cameroon
627,Blé B,Cameroon
628,Blé C,Cameroon
629,Blé E,Cameroon
657,Blé Mound D,Cameroon
92,Bolo Bai,Cameroon
1071,Boulou River,Cameroon
101,Boussibiliga 1,Cameroon
102,Bwambé,Cameroon
47,Campo,Cameroon
104,Campo 1,Cameroon
105,Campo beach,Cameroon
399,Campo Center,Cameroon
401,Campo Eglise,Cameroon
520,Dang-patou,Cameroon
662,Deguesse,Cameroon
1242,DGB-1,Cameroon
1243,DGB-2,Cameroon
1244,DGB-8,Cameroon
109,Dibamba,Cameroon
9,Djaoro Mbama,Cameroon
113,Djembé  ,Cameroon
607,Djobemou,Cameroon
1136,Dokwaza,Cameroon
115,Dombé,Cameroon
522,Douafo,Cameroon
1240,Doulo 4,Cameroon
1239,Doulo Chefferie,Cameroon
51,Doulo Igzawa 1,Cameroon
606,Douloumi,Cameroon
10,Doumba,Cameroon
454,Ebaka,Cameroon
461,Ebaka,Cameroon
462,Ebaka,Cameroon
546,Ebot,Cameroon
548,Ebot,Cameroon
117,Eboundja 3,Cameroon
533,Ekabita,Cameroon
118,Ekak,Cameroon
593,Elig Kono,Cameroon
556,Elig Mebenga,Cameroon
122,Essong Missang,Cameroon
11,Ewani 1 ,Cameroon
12,Ewani 6,Cameroon
13,Ewani 7   ,Cameroon
14,Ewani 9   ,Cameroon
449,Ewankang,Cameroon
125,Ezezang,Cameroon
596,Fiye Nkwi,Cameroon
15,Fundong,Cameroon
130,Gba,Cameroon
615,Goray,Cameroon
471,Goyoum,Cameroon
473,Goyoum,Cameroon
472,Grand Zambi,Cameroon
474,Grand Zambi,Cameroon
485,Grand Zambi,Cameroon
1238,Gréa Twin Peaks,Cameroon
616,Groumoui,Cameroon
